[10/12/2024 18:13:50] auth_controller.py | New Register Request
[10/12/2024 18:13:50] auth_service.py | Registering user stephen@gmail.com...
[10/12/2024 18:13:50] auth_service.py | New User Created!
[10/12/2024 18:14:16] auth_controller.py | New Register Request
[10/12/2024 18:15:12] auth_controller.py | New Login Request
[10/12/2024 18:15:12] auth_service.py | User stephen@gmail.com logging in...
[10/12/2024 18:15:13] auth_service.py | Login Success
[10/12/2024 18:15:28] auth_controller.py | New Login Request
[10/12/2024 18:15:28] auth_service.py | User stephen@gmail.com logging in...
[10/12/2024 18:15:28] auth_service.py | Login Success
[10/12/2024 18:15:33] auth_controller.py | New Login Request
[10/12/2024 18:16:53] auth_controller.py | New Login Request
[10/12/2024 18:16:53] auth_service.py | User stephen@gmail.com logging in...
[10/12/2024 18:16:54] auth_service.py | Login Success
[10/12/2024 18:17:47] auth_controller.py | New Login Request
[10/12/2024 18:17:47] auth_service.py | User stephen@gmail.com logging in...
[10/12/2024 18:17:48] auth_service.py | Login Success
[10/12/2024 18:19:29] auth_controller.py | New Register Request
[10/12/2024 18:19:29] auth_service.py | Registering user timo@timo...
[10/12/2024 18:19:35] auth_controller.py | New Login Request
[10/12/2024 18:19:35] auth_service.py | User stephen@gmail.com logging in...
[10/12/2024 18:19:36] auth_service.py | Login Success
[10/12/2024 18:19:41] auth_controller.py | New Register Request
[10/12/2024 18:19:41] auth_service.py | Registering user timo@timo...
[10/12/2024 18:19:58] auth_controller.py | New Register Request
[10/12/2024 18:19:58] auth_service.py | Registering user timo@timo...
[10/12/2024 18:21:11] auth_controller.py | New Register Request
[10/12/2024 18:21:11] auth_service.py | Registering user timo@timo...
[10/12/2024 18:23:43] auth_controller.py | New Register Request
[10/12/2024 18:23:43] auth_service.py | Registering user timo@timo...
[10/12/2024 18:24:33] auth_controller.py | New Register Request
[10/12/2024 18:24:33] auth_service.py | Registering user timo@timo...
